step_id,pid,interaction_id,order_id,level,text_entry,text_type,who,category,subcat,end,status,date,time,dt
1,1,1,1,1,"""Carbon footprint Statistics""",query,user,user_main,main_topic,0,start,9/29/2021,11:01,9/29/2021 11:01
2,1,1,2,1, Route --> Carbon footprint sustainability,bot_match,bot,main_topic,carbon-foot,0,start,9/29/2021,11:01,9/29/2021 11:01
3,1,1,3,2, SDG 12: Responsible Consumption and Production,prompt,bot,sustainability,choose-sdg,0,start,9/29/2021,11:01,9/29/2021 11:01
4,1,1,4,3," Yes, Explore more SDGs ",prompt,bot,sustainability,choose-sdg,0,assign,9/29/2021,11:01,9/29/2021 11:01
5,1,1,5,3, Go --> Choose SDG,bot_move,bot,sustainability,choose-sdg,0,start,9/29/2021,11:01,9/29/2021 11:01
6,1,1,6,4, SDG 3 -Good Health and Well-Being,prompt,bot,sustainability,choose-sdg,0,assign,9/29/2021,11:02,9/29/2021 11:02
7,1,1,7,5," Yes, explore more SDGs",prompt,bot,sustainability,choose-sdg,0,start,9/29/2021,11:02,9/29/2021 11:02
8,1,1,8,3, Go --> Choose SDG,bot_move,bot,sustainability,choose-sdg,0,start,9/29/2021,11:02,9/29/2021 11:02
9,1,1,9,4, SDG 1 -No Poverty,prompt,bot,sustainability,choose-sdg,0,start,9/29/2021,11:03,9/29/2021 11:03
10,1,1,10,5, Yes explore more SDGs,prompt,bot,sustainability,choose-sdg,0,assign,9/29/2021,11:03,9/29/2021 11:03
11,1,1,11,3, Go --> Choose SDG,bot_move,bot,sustainability,choose-sdg,0,start,9/29/2021,11:03,9/29/2021 11:03
12,1,1,12,4," SDG 9 -Industry, Innovation, and Infrastructure",prompt,bot,sustainability,choose-sdg,0,start,9/29/2021,11:04,9/29/2021 11:04
13,1,1,13,5, No explore SDGs,prompt,bot,sustainability,choose-sdg,0,assign,9/29/2021,11:04,9/29/2021 11:04
14,1,1,14,5, No expore topics,prompt,bot,sustainability,choose-sdg,0,end,9/29/2021,11:04,9/29/2021 11:04
15,1,1,15,1, Linger Impact of carbon footprint,prompt,bot,main_topic,carbon-foot,-1,abort,9/29/2021,11:05,9/29/2021 11:05
16,2,1,1,1,"""How should I start the outline of my paper?""",query,user,user_write,writing,0,start,9/29/2021,13:00,9/29/2021 13:00
17,2,1,2,1,no match,bot_nomatch,bot,outscope,bot,0,skip,9/29/2021,13:00,9/29/2021 13:00
